"DGIdb drugs","Associated variants","Cancer","Gene_symbol","Consensus_Score","Driver Level","Onco_gene_OncoVar","Ensembl_ID","Entrez_ID","Gene_biotype","AI-DriverGene","P_value","FDR","OncoVar_Score","CGC","OncoKB","MutPanning","2020Rule","CGCPointMut","CTAT","FASMIC","HCD","MouseMut","Oncogene","TSGene","Therapeutic_target_in_PMID_30971826","PMID_29056346","PMID_29056346_collected_known","TCGA_papers","Intogen","DriverDBv3"
"Drugs","Associated Mutations","PanCancer","KLK1","0","0","N","ENSG00000167748","3816","protein_coding","N","0.295413665138373","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","LGSN","0","0","N","ENSG00000146166","51557","protein_coding","N","0.369689388470175","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","LHCGR","0","0","N","ENSG00000138039","3973","protein_coding","N","0.0128727002909185","0.324519185111798","0.476896409198769","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","LIG1","0","0","N","ENSG00000105486","3978","protein_coding","N","0.462863672515006","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","MMP21","0","0","N","ENSG00000154485","118856","protein_coding","N","0.530732505105614","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NEU2","0","0","N","ENSG00000115488","4759","protein_coding","N","0.574168261132196","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NLRP1","0","0","N","ENSG00000091592","22861","protein_coding","N","0.515403773262753","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NMBR","0","0","N","ENSG00000135577","4829","protein_coding","N","0.540355433578443","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","NPR3","0","0","N","ENSG00000113389","4883","protein_coding","N","0.593856016552037","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","OPLAH","0","0","N","ENSG00000261479","26873","processed_transcript","N","0.0598236324559794","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","PSMA4","0","0","N","ENSG00000041357","5685","protein_coding","N","0.244028858258589","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Drugs","Associated Mutations","PanCancer","QRFPR","0","0","N","ENSG00000186867","84109","protein_coding","N","0.0829601552670943","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","SCYL1","0","0","N","ENSG00000142186","57410","protein_coding","N","0.216666166248147","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","SI","0","0","N","ENSG00000090402","6476","protein_coding","N","0.00722965075248606","0.213029535881335","0.497154693746539","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","SIGLEC1","0","0","N","ENSG00000088827","6614","protein_coding","N","0.531675410413069","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","SST","0","0","N","ENSG00000157005","6750","protein_coding","N","0.273100744395144","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Drugs","Associated Mutations","PanCancer","STAB2","0","0","N","ENSG00000136011","55576","protein_coding","N","0.595594794615806","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","TNFRSF1A","0","0","N","ENSG00000067182","7132","protein_coding","N","0.568431631205329","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","TUFM","0","0","N","ENSG00000178952","7284","protein_coding","N","0.456961958137802","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","UGT1A1","0","0","N","ENSG00000242366","54658","protein_coding","N","0.556652843454837","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","VCAM1","0","0","N","ENSG00000162692","7412","protein_coding","N","0.401739908266037","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"Drugs","Associated Mutations","PanCancer","VCAN","0","0","N","ENSG00000038427","1462","protein_coding","N","0.595130316202772","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ABCA13","0","0","N","ENSG00000179869","154664","protein_coding","N","0.593966960693926","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ACAD10","0","0","N","ENSG00000111271","80724","protein_coding","N","0.513913581100383","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ACTL9","0","0","N","ENSG00000181786","284382","protein_coding","N","0.388372761206873","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ADAMTS13","0","0","N","ENSG00000160323","11093","protein_coding","N","0.322448694593088","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ADAMTS20","0","0","N","ENSG00000173157","80070","protein_coding","N","0.555277595383386","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ADAMTSL1","0","0","N","ENSG00000178031","92949","protein_coding","N","0.331878923364619","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ADGB","0","0","N","ENSG00000118492","79747","protein_coding","N","0.208561989272113","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ADGRL4","0","0","N","ENSG00000162618","64123","protein-coding","N","0.0609031493235112","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
"No_drug","Associated Mutations","PanCancer","ELTD1","0","0","N","ENSG00000162618","64123","protein_coding","N","0.491942091816951","0.596573590279973","0.447711526065277","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
